study,trial,value,best_so_far
ABC-embedded-tied_s0_s10_s30,5,0.13320131723948103,0.35682971996790763
ABC-embedded-tied_s0_s10_s30,6,0.28629806718899187,0.35682971996790763
ABC-embedded-tied_s0_s10_s30,7,0.282272398948361,0.35682971996790763
ABC-embedded-tied_s0_s10_s30,8,0.21908658934999325,0.35682971996790763
ABC-embedded-tied_s0_s10_s30,9,0.21570424989113857,0.35682971996790763
ABC-embedded-tied_s0_s10_s30,10,0.21125881717932082,0.35682971996790763
ABC-embedded-tied_s0_s10_s30,11,0.219384117727539,0.35682971996790763
ABC-embedded-tied_s0_s10_s30,12,0.22008483170065396,0.35682971996790763
ABC-embedded-tied_s0_s10_s30,13,0.20971704998772317,0.35682971996790763
ABC-embedded-tied_s0_s10_s30,14,0.22614648226172368,0.35682971996790763
ABC-embedded-tied_s0_s10_s30,15,0.2155116385036517,0.35682971996790763
ABC-embedded-tied_s0_s10_s30,16,0.20358380032261741,0.35682971996790763
ABC-embedded-tied_s0_s10_s30,17,0.2616482479878097,0.35682971996790763
ABC-embedded-tied_s0_s10_s30,18,0.22542597844597292,0.35682971996790763
ABC-embedded-tied_s0_s10_s30,19,0.28215867569986386,0.35682971996790763
ABC-embedded-tied_s0_s10_s30,20,0.22104570954426367,0.35682971996790763
ABC-embedded-tied_s0_s10_s30,21,0.2751984412782636,0.35682971996790763
ABC-embedded-tied_s0_s10_s30,22,0.27731633268407885,0.35682971996790763
ABC-embedded-tied_s0_s10_s30,23,0.26887985844286794,0.35682971996790763
ABC-embedded-tied_s0_s10_s30,24,0.23021532173457868,0.35682971996790763
ABC-embedded-tied_s0_s10_s30,25,0.31748085828162775,0.35682971996790763
ABC-embedded-tied_s0_s10_s30,26,0.3656537951678115,0.3656537951678115
ABC-embedded-tied_s0_s10_s30,27,0.37087633517810537,0.37087633517810537
ABC-embedded-tied_s0_s10_s30,28,0.3626177268606374,0.37087633517810537
ABC-embedded-tied_s0_s10_s30,29,0.2190268694295839,0.37087633517810537
ABC-embedded-tied_s0_s10_s30,30,0.3743832995245961,0.3743832995245961
ABC-embedded-tied_s0_s10_s30,31,0.37228053188311244,0.3743832995245961
ABC-embedded-parallel_s0_s10_s30,0,0.1897718272031607,0.1897718272031607
ABC-embedded-parallel_s0_s10_s30,1,0.32741846194591934,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,2,0.09670175082999294,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,3,0.3092426308263361,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,4,0.2197571478816068,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,5,0.22307251906177616,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,6,0.22563981454150828,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,7,0.2273128012145559,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,8,0.0038336453384898777,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,9,0.24806200974728848,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,10,0.026888129646897733,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,11,0.2372471608219882,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,12,0.2320065250425914,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,13,0.11120501947270925,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,14,0.2840502121816511,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,15,0.22602472487172434,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,16,0.32021649861368673,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,17,0.22384510442522382,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,18,0.20724441296093313,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,19,0.24393416145668065,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,20,0.28918808435799365,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,21,0.25675813150580734,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,22,0.21058523735296286,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,23,0.2848802167160652,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,24,0.23635162344649982,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,25,0.22941418515249545,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,26,0.27684034167396937,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,27,0.23816887113575316,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,28,0.22678263595224135,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,29,0.11142001689875038,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,30,0.31792911631907683,0.32741846194591934
ABC-embedded-parallel_s0_s10_s30,31,0.34442975053692404,0.34442975053692404
