seed,omega,nonmarkovianity,mean_trace_distance,max_trace_distance,final_trace_distance,steps,seconds
18,0.5,5.852944507278579e-06,0.003255627786317376,0.940254807472229,1.9360079761554516e-08,1000,10.245956897735596
18,0.0,0.2871157068542658,0.027937783069842063,0.9402546882629395,4.5400206261092535e-08,1000,4.192070245742798
19,1.0,5.575426004211792e-06,0.00173618382078532,0.9426389932632446,3.639729584392626e-08,1000,8.823182106018066
19,0.5,6.465200077077071e-06,0.003414348405169218,0.9426392316818237,3.972482076619599e-08,1000,11.063607454299927
19,0.0,0.07774987610017092,0.021954115193185478,0.9426392316818237,4.412974163869876e-08,1000,4.315180778503418
20,1.0,5.370478053823291e-06,0.0018519270387906985,0.9323645830154419,4.651022322832432e-08,1000,12.98157024383545
20,0.5,5.874835817820667e-06,0.0036607897048388568,0.9323645234107971,2.0886732343683434e-08,1000,18.66745400428772
20,0.0,0.47078396526771016,0.02336961762815024,0.9323647022247314,8.163087983348305e-08,1000,4.4249207973480225
21,1.0,6.286926873544374e-06,0.0017402971487420983,0.9777641296386719,5.28495576190835e-08,1000,8.968549013137817
21,0.5,5.933131688617976e-06,0.0036893829207210183,0.9777641296386719,1.6383113532469906e-08,1000,10.913017749786377
21,0.0,0.2531438235815102,0.03757285973637461,0.9777638912200928,7.735421547749866e-08,1000,7.110105752944946
22,1.0,5.280764082016276e-06,0.0016624520452584754,0.918622612953186,2.143678301536056e-08,1000,12.91231656074524
22,0.5,6.0172865818941546e-06,0.003051847236972252,0.9186227321624756,2.7476774633328205e-08,1000,13.223041534423828
22,0.0,0.8694790102645342,0.02518828904455345,0.9186227321624756,6.502625637949677e-08,1000,10.26592493057251
23,1.0,5.7860623758898555e-06,0.001738020729829493,0.9594570398330688,6.7061911579457956e-09,1000,12.84487009048462
23,0.5,5.646505909062682e-06,0.0033779372504294893,0.9594571590423584,3.686938399027895e-08,1000,11.745092153549194
23,0.0,0.2822428988221084,0.027575078496032447,0.9594570398330688,5.081813014840009e-08,1000,5.666455030441284
24,1.0,5.765406649871352e-06,0.0018833796088055328,0.9295381307601929,2.9362336562144264e-08,1000,11.963802576065063
24,0.5,5.6710528575365515e-06,0.0038155676138402076,0.9295380115509033,4.30939266493624e-08,1000,9.753772735595703
24,0.0,2.55080203354013,0.04639718429402878,0.9565798044204712,1.4486491295429005e-07,1000,5.46525502204895
25,1.0,5.34808138841214e-06,0.0016099897177414468,0.9107937812805176,5.96626676951928e-08,1000,10.994914293289185
25,0.5,5.805385764778848e-06,0.0031249910436503187,0.9107938408851624,2.4028132372677646e-08,1000,15.944751501083374
25,0.0,0.015200204395014794,0.017683093321628478,0.9107939004898071,5.215840559458229e-08,1000,4.251619338989258
26,1.0,5.535960187152966e-06,0.0018150826877176157,0.9760359525680542,5.872360375747121e-09,1000,7.971876621246338
26,0.5,5.884463323280187e-06,0.003406026108120758,0.9760360717773438,3.666042402983294e-08,1000,10.130420923233032
26,0.0,0.340991538788586,0.028280103432799675,0.9760359525680542,4.7742449993393166e-08,1000,3.6999013423919678
27,1.0,5.433500143814385e-06,0.0018104181321352672,0.9792729020118713,2.0197978400915417e-08,1000,15.13784384727478
27,0.5,5.944063510288089e-06,0.003731017485267638,0.979272723197937,3.0234154735353513e-08,1000,12.897111654281616
27,0.0,0.18214548123460617,0.02972345400424961,0.9792727828025818,7.203863816584999e-08,1000,9.2131986618042
28,1.0,5.418138630197689e-06,0.001470540656736253,0.9054276943206787,1.0574735753721143e-08,1000,9.175981044769287
28,0.5,6.129411292965514e-06,0.002723824816270251,0.9054275751113892,4.942870113211484e-09,1000,14.066044330596924
28,0.0,0.02215851015974124,0.019603132212849126,0.9054276347160339,5.871006791835498e-08,1000,5.71248984336853
29,1.0,5.773130121733416e-06,0.001655057779999694,0.9077986478805542,4.179605639365036e-08,1000,15.333333015441895
29,0.5,5.665655110398404e-06,0.0031540782266142203,0.907798707485199,7.545555291699202e-09,1000,11.145682096481323
29,0.0,0.02531999138940222,0.017124986852602872,0.9077986478805542,4.081445226233882e-08,1000,4.215668201446533
30,1.0,5.493228145025952e-06,0.0018107852259287268,0.9770906567573547,5.83759174332954e-09,1000,15.21889328956604
30,0.5,5.6456108472602295e-06,0.003578303795199492,0.9770905375480652,5.4282949690787063e-08,1000,14.389912366867065
30,0.0,0.208774905440535,0.028468694563364733,0.97709059715271,4.6528363384368276e-08,1000,7.768487453460693
31,1.0,5.849752801267982e-06,0.0015221100375789256,0.8783739805221558,8.068562351581932e-08,1000,17.714101552963257
31,0.5,5.7869224634465866e-06,0.002865459153592107,0.8783740997314453,3.18482662464703e-08,1000,14.947970390319824
31,0.0,0.06961645705220576,0.020369216950459425,0.8783739805221558,4.21298622654831e-08,1000,4.462031841278076
32,1.0,6.300220207089424e-06,0.0015337063820897118,0.8591217398643494,6.005086650162639e-09,1000,13.258548498153687
32,0.5,6.324188145612197e-06,0.002869430319203428,0.8591216802597046,2.2779250485882585e-08,1000,16.066256046295166
32,0.0,0.4193111712767994,0.02557091285542987,0.8591217994689941,4.437539047330574e-08,1000,9.31252670288086
33,1.0,6.037560930760577e-06,0.0016183964267027391,0.8583530187606812,3.4958063110934745e-08,1000,12.647687196731567
33,0.5,6.13172328822742e-06,0.0034043020750629815,0.8583528995513916,2.1457978505168285e-08,1000,11.615448951721191
33,0.0,0.9896843793025063,0.03586012783707825,0.9257832765579224,8.087116754040835e-08,1000,5.131195545196533
