architecture,task,trial,value,state,omega,eta
AB-embedded,s0_s10_s30,25,0.2878785142849803,TrialState.COMPLETE,0.3841765033405806,0.20822885085138942
AB-embedded,s0_s10_s30,26,0.38456887771835835,TrialState.COMPLETE,0.22467325646820874,0.6017443980599363
AB-embedded,s0_s10_s30,27,0.23013903427630483,TrialState.COMPLETE,0.5349799336585348,0.7652614278999144
AB-embedded,s0_s10_s30,28,0.31103730442248534,TrialState.COMPLETE,0.23198296226872434,0.6951533381616718
AB-embedded,s0_s10_s30,29,0.33369445902810563,TrialState.COMPLETE,0.3684685847030231,0.5984621679399313
AB-embedded,s0_s10_s30,30,0.3152583904765014,TrialState.COMPLETE,0.40486040077370083,0.4005357313174397
AB-embedded,s0_s10_s30,31,0.3562730721671329,TrialState.COMPLETE,0.08043249863001123,0.5319599857817797
AB-embedded,s0_s10_s30,32,0.37839424141244077,TrialState.COMPLETE,0.2205092945938379,0.6161817249811099
AB-embedded,s0_s10_s30,33,0.3498406145745031,TrialState.COMPLETE,0.23218354686075807,0.6494920598681478
AB-embedded,s0_s10_s30,34,0.2532750377397576,TrialState.COMPLETE,0.3548794966532565,0.9422132487625867
AB-embedded,s0_s10_s30,35,0.3850379656339774,TrialState.COMPLETE,0.16859010839125188,0.8115574173681124
AB-embedded,s0_s10_s30,36,0.38223809187654295,TrialState.COMPLETE,0.18613340339572557,0.8304881195912353
AB-embedded,s0_s10_s30,37,0.34766784941471723,TrialState.COMPLETE,0.15183428458607096,0.9905278712923733
AB-embedded,s0_s10_s30,38,0.37989474236257914,TrialState.COMPLETE,0.03319828744236336,0.8303341728067987
AB-embedded,s0_s10_s30,39,0.3647061263616822,TrialState.COMPLETE,0.03148274766361209,0.8616185173077842
AB-embedded,s0_s10_s30,40,0.35078154840123377,TrialState.COMPLETE,0.05859087803401036,1.070980904969098
AB-embedded,s0_s10_s30,41,0.3883929585487325,TrialState.COMPLETE,0.15976589779018072,0.8214508988733799
AB-embedded,s0_s10_s30,42,0.34422601902793015,TrialState.COMPLETE,0.0018090326188725733,0.791749129985782
AB-embedded,s0_s10_s30,43,0.3690030695222135,TrialState.COMPLETE,0.13850793508949052,0.9168535618380375
AB-embedded,s0_s10_s30,44,0.32495071678843424,TrialState.COMPLETE,0.19674056194309603,0.7227237161723803
AB-embedded,s0_s10_s30,45,0.37986889985570604,TrialState.COMPLETE,0.04967970389601212,0.8448069421422624
AB-embedded,s0_s10_s30,46,0.2759794963254163,TrialState.COMPLETE,0.27305452247168605,1.042707658235427
AB-embedded,s0_s10_s30,47,0.2564988431963561,TrialState.COMPLETE,0.3240164905320575,1.377624818685677
AB-embedded,s0_s10_s30,48,0.23714509009481552,TrialState.COMPLETE,0.8190673762345009,1.147417485344011
AB-embedded,s0_s10_s30,49,0.348684867393216,TrialState.COMPLETE,0.1785365600472361,0.9306956453026033
AB-embedded,s0_s10_s30,50,0.39225817695711995,TrialState.COMPLETE,0.12414689442271444,0.836009698035427
AB-embedded,s0_s10_s30,51,0.38891608170449343,TrialState.COMPLETE,0.11687358284286686,0.789256705563772
AB-embedded,s0_s10_s30,52,0.3801409009233772,TrialState.COMPLETE,0.12594226897147914,0.8892954840018736
AB-embedded,s0_s10_s30,53,0.37052895976294176,TrialState.COMPLETE,0.18643791712483618,0.78837604336977
AB-embedded,s0_s10_s30,54,0.3395454932882078,TrialState.COMPLETE,0.09356630959955345,0.6643162965874586
AB-embedded,s0_s10_s30,55,0.2872897195784818,TrialState.COMPLETE,0.28258018594064804,0.7546251448573862
AB-embedded,s0_s10_s30,56,0.24415460631216562,TrialState.COMPLETE,0.9962253844052456,0.9780630571025748
